state,year,hhi
Andaman And Nicobar Islands,2008,4225.280417598508
Andaman And Nicobar Islands,2009,2463.17848742094
Andaman And Nicobar Islands,2010,1807.1994830251592
Andaman And Nicobar Islands,2011,1639.4425914663304
Andaman And Nicobar Islands,2012,1573.091096948577
Andaman And Nicobar Islands,2013,1846.993177984782
Andaman And Nicobar Islands,2014,2019.510508899047
Andaman And Nicobar Islands,2015,2111.631375840163
Andaman And Nicobar Islands,2016,2408.4247220274337
Andaman And Nicobar Islands,2017,2323.580306223312
Andaman And Nicobar Islands,2018,2233.88383915945
Andaman And Nicobar Islands,2019,3237.947824806897
Andaman And Nicobar Islands,2020,3099.3501674052827
Andaman And Nicobar Islands,2021,3117.4110178275837
Andhra Pradesh,2008,1930.7579192954634
Andhra Pradesh,2009,1878.6243682065883
Andhra Pradesh,2010,1715.0990951976935
Andhra Pradesh,2011,1617.493431189109
Andhra Pradesh,2012,1615.985970198013
Andhra Pradesh,2013,1693.7215810010364
Andhra Pradesh,2014,1753.313448175204
Andhra Pradesh,2015,1796.7186301920501
Andhra Pradesh,2016,1866.1192436296692
Andhra Pradesh,2017,1804.5036795578164
Andhra Pradesh,2018,2088.086098320727
Andhra Pradesh,2019,2735.8600117237934
Andhra Pradesh,2020,2898.3680978270177
Andhra Pradesh,2021,2973.6941501194497
Arunachal Pradesh,2008,10000.0
Arunachal Pradesh,2009,3108.7209872774674
Arunachal Pradesh,2010,2293.044242003984
Arunachal Pradesh,2011,2154.1313048697434
Arunachal Pradesh,2012,2145.4687846269417
Arunachal Pradesh,2013,2189.478053436976
Arunachal Pradesh,2014,2251.0308262345116
Arunachal Pradesh,2015,2338.314647029343
Arunachal Pradesh,2016,2447.2240056989363
Arunachal Pradesh,2017,2272.018405326889
Arunachal Pradesh,2018,2542.8977530911466
Arunachal Pradesh,2019,3032.5541519708854
Arunachal Pradesh,2020,3185.637143592334
Arunachal Pradesh,2021,3310.9619162785716
Assam,2008,2503.4011528154774
Assam,2009,2331.725394303
Assam,2010,2178.2955694218463
Assam,2011,2052.476816490888
Assam,2012,2055.8636421210226
Assam,2013,2087.0041256248555
Assam,2014,2147.454977235373
Assam,2015,2200.7072273271456
Assam,2016,2308.591982600182
Assam,2017,2124.9023263194767
Assam,2018,2292.440261659292
Assam,2019,2859.1205076733363
Assam,2020,3010.17339731191
Assam,2021,3148.6165112605313
Bihar,2008,2771.3594821323545
Bihar,2009,2180.530091990698
Bihar,2010,1646.1767454032683
Bihar,2011,1501.657173549812
Bihar,2012,1540.555910216075
Bihar,2013,1832.6022284691087
Bihar,2014,1949.8157164053237
