year,month,total_wireless
2008,12,333047945.3488293
2009,1,347914229.47678214
2009,2,360709091.97468024
2009,3,375971960.4820589
2009,4,387422597.54078645
2009,5,398657617.06621814
2009,6,410396237.73215926
2009,7,424353468.40825504
2009,8,438898805.78190225
2009,9,453430829.0091836
2009,10,469490908.8004592
2009,11,486458202.9124367
2009,12,505019723.96974325
2010,1,524315914.7288171
2010,2,542469150.0178976
2010,3,562409843.9680864
2010,4,578832525.8719715
2010,5,594489690.0810018
2010,6,611927719.8228831
2010,7,628158290.7138453
2010,8,645656267.4434993
2010,9,657689116.2730906
2010,10,680301989.4058993
2010,11,702063021.752755
2010,12,723614186.2083002
2011,1,741685535.769562
2011,2,760903206.8148469
2011,3,780505158.0067427
2011,4,795239962.7551425
2011,5,808190162.2333808
2011,6,819178812.9106773
2011,7,825354247.3904426
2011,8,832209212.7631931
2011,9,839963478.904855
2011,10,847481826.8947066
2011,11,850531334.0000224
2011,12,859298211.0323867
2012,1,868884449.1662787
2012,2,876000282.0259752
2012,3,883681934.7685403
2012,4,885759771.0729109
2012,5,893606219.9616876
2012,6,898047592.0900635
2012,7,878639562.4616027
2012,8,873678713.8402561
2012,9,872348978.4848142
2012,10,869589660.2459242
2012,11,856334791.5041162
2012,12,831055737.1506926
2013,1,828908169.63043
2013,2,827548770.4251074
2013,3,833354806.3540099
2013,4,832831373.6358889
2013,5,835999904.9863864
2013,6,839043170.9129877
2013,7,840326677.3611526
2013,8,840562031.1572992
2013,9,834263611.5649989
2013,10,840712223.5059907
2013,11,846031153.8513628
2013,12,848843910.7153692
2014,1,857359261.1577424
2014,2,867002841.9408683
2014,3,867950685.6075549
2014,4,870844998.586019
2014,5,873601258.1054914
2014,6,878281348.9835644
2014,7,881663022.4471326
2014,8,887074829.3599273
2014,9,892536504.7617202
2014,10,897511654.3724092
2014,11,899903642.8997986
2014,12,906265060.9133793
2015,1,914325949.3432889
2015,2,921989105.0352353
2015,3,930930693.0336529
2015,4,934174744.2064526
2015,5,937071446.2260422
2015,6,939438908.0271468
2015,7,943943333.5963947
2015,8,948953134.9821589
2015,9,956782258.3722644
2015,10,963341643.7380693
2015,11,968653839.9545369
2015,12,969925312.449419
2016,1,976509552.3120002
2016,2,984593836.5927991
2016,3,991281452.9670445
2016,4,991979133.2176088
2016,5,990727086.6170602
2016,6,992669988.9042438
2016,7,991806446.5033045
2016,8,986694621.8174509
2016,9,1006950233.5226083
2016,10,1034516466.1347218
2016,11,1054820491.0278584
2016,12,1081660691.989222
2017,1,1103686470.7349014
2017,2,1117079883.9178348
2017,3,1122883577.5229564
2017,4,1127029442.3885503
2017,5,1133193378.670529
2017,6,1138949296.2350283
2017,7,1139116834.0291338
2017,8,1138291893.0203245
2017,9,1135404908.314921
2017,10,1130745058.579767
2017,11,1115528381.3688493
2017,12,1120404290.093311
2018,1,1104916680.1933043
2018,2,1109924081.669747
2018,3,1135761198.241569
2018,4,1077326193.5143628
2018,5,1083939658.799214
2018,6,1099050255.1118243
2018,7,1109504385.1013918
2018,8,1119206918.4244578
2018,9,1121668190.1106713
2018,10,1122425034.318704
2018,11,1124213915.783359
2018,12,1128153014.4399562
2019,1,1133901005.945548
2019,2,1135519615.6190698
2019,3,1114965777.7702475
2019,4,1115454413.2410533
2019,5,1115176392.3504395
2019,6,1118823490.25712
2019,7,1121315120.6988301
2019,8,1123975299.0650492
2019,9,1126573741.983208
2019,10,1136130412.6582327
2019,11,1107813099.640166
2019,12,1104801617.8557146
2020,1,1109413088.0612473
2020,2,1113519980.3207493
2020,3,1111023012.1000133
2020,4,1103465401.1486769
2020,5,1097963189.4545474
2020,6,1094745504.7847934
2020,7,1098164259.2979414
2020,8,1101507153.7811558
2020,9,1102385625.9419796
2020,10,1105268370.0688617
2020,11,1108405364.3480039
2020,12,1106813879.1146777
2021,1,1116397584.9571524
2021,2,1120347269.8678916
2021,3,1133166512.0128686
2021,4,1135405772.0864158
