year,Bharti Airtel,Vodafone,BSNL,Idea Cellular,Reliance Communications,Reliance Jio,Others
2008,24.900902267268286,17.681959516057535,13.326016030860155,10.389181812837935,17.872904795946006,0.0,15.829035577030076
2009,23.859855865805546,17.701127760913952,12.657497882370174,10.478649448347364,18.4568461601498,0.0,16.846022882413163
2010,21.526469954529208,16.99713562654972,11.587998041444795,10.465098074417153,17.29338781425614,0.0,22.129910488802974
2011,20.122603875652263,16.517035754613037,11.134606508569645,10.929260502185803,16.86193101049462,0.0,24.43456234848461
2012,20.46368579312621,16.578448898474363,10.93863304865771,12.200696753299976,15.719009742912366,0.0,24.099525763529375
2013,22.232980655357558,17.60623183511267,11.377827951155577,13.84113658913473,14.02308130851721,0.0,20.91874166072225
2014,23.132964464135632,18.434426225183397,9.774273088776047,14.78498102050185,12.148984492797668,0.0,21.724370708605395
2015,23.895335111608066,18.802037640651672,8.094617149296631,16.04117058161422,11.224908050688217,0.0,21.941931466141188
2016,24.760387881406736,18.8937229162507,8.669199381298025,16.55387081076738,9.153985250774728,1.404384275645442,20.564449483856986
2017,24.182253615292478,17.71056802078562,8.903166960123606,15.994480522083835,6.242300136591515,10.789132924059144,16.178097821063805
2018,28.86483455725571,14.234272600515746,9.800677303437833,13.318014823660477,0.10016255465005247,19.361765120608023,14.32027303987216
2019,28.51721948969664,0.0,10.07088599435396,0.0,0.0016215420103395856,28.6360806799724,32.774192293966664
2020,28.798582394467754,0.0,10.463197590934186,0.0,0.0014484367776245507,34.38811880488245,26.34865277293797
2021,30.192000763029704,0.0,10.187967671141868,0.0,0.0008223115713563479,35.58461798943516,24.034591264821913
