Country,Year,Month,Service Area,"Tele-Density Service Area-Wise (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2023","November, 2023",Andhra Pradesh,93.46
India,"Financial Year (Apr - Mar), 2023","November, 2023",Assam,72.11
India,"Financial Year (Apr - Mar), 2023","November, 2023",Bihar,56.18
India,"Financial Year (Apr - Mar), 2023","November, 2023",Gujarat,91.88
India,"Financial Year (Apr - Mar), 2023","November, 2023",Haryana,88.68
India,"Financial Year (Apr - Mar), 2023","November, 2023",Himachal Pradesh,120.06
India,"Financial Year (Apr - Mar), 2023","November, 2023",Jammu & Kashmir,89.91
India,"Financial Year (Apr - Mar), 2023","November, 2023",Karnataka,101.77
India,"Financial Year (Apr - Mar), 2023","November, 2023",Kerala,121.77
India,"Financial Year (Apr - Mar), 2023","November, 2023",Madhya Pradesh,67.53
India,"Financial Year (Apr - Mar), 2023","November, 2023",Maharashtra,94.97
India,"Financial Year (Apr - Mar), 2023","November, 2023",North East,79.66
India,"Financial Year (Apr - Mar), 2023","November, 2023",Odisha,75.75
India,"Financial Year (Apr - Mar), 2023","November, 2023",Punjab,113.31
India,"Financial Year (Apr - Mar), 2023","November, 2023",Rajasthan,81.66
India,"Financial Year (Apr - Mar), 2023","November, 2023",Tamil Nadu,102.71
India,"Financial Year (Apr - Mar), 2023","November, 2023",Uttar Pradesh,66.22
India,"Financial Year (Apr - Mar), 2023","November, 2023",West Bengal,70.1
India,"Financial Year (Apr - Mar), 2023","November, 2023",Kolkata,136.16
India,"Financial Year (Apr - Mar), 2023","November, 2023",Delhi,276.72
India,"Financial Year (Apr - Mar), 2023","November, 2023",Mumbai,131.44
India,"Financial Year (Apr - Mar), 2023","October, 2023",Andhra Pradesh,92.95
India,"Financial Year (Apr - Mar), 2023","October, 2023",Assam,72.17
India,"Financial Year (Apr - Mar), 2023","October, 2023",Bihar,55.96
India,"Financial Year (Apr - Mar), 2023","October, 2023",Gujarat,91.48
India,"Financial Year (Apr - Mar), 2023","October, 2023",Haryana,88.47
India,"Financial Year (Apr - Mar), 2023","October, 2023",Himachal Pradesh,120.23
India,"Financial Year (Apr - Mar), 2023","October, 2023",Jammu & Kashmir,90.4
India,"Financial Year (Apr - Mar), 2023","October, 2023",Karnataka,101.37
India,"Financial Year (Apr - Mar), 2023","October, 2023",Kerala,121.89
India,"Financial Year (Apr - Mar), 2023","October, 2023",Madhya Pradesh,67.35
India,"Financial Year (Apr - Mar), 2023","October, 2023",Maharashtra,94.92
India,"Financial Year (Apr - Mar), 2023","October, 2023",North East,79.54
India,"Financial Year (Apr - Mar), 2023","October, 2023",Odisha,76.22
India,"Financial Year (Apr - Mar), 2023","October, 2023",Punjab,112.99
India,"Financial Year (Apr - Mar), 2023","October, 2023",Rajasthan,81.78
India,"Financial Year (Apr - Mar), 2023","October, 2023",Tamil Nadu,102.29
India,"Financial Year (Apr - Mar), 2023","October, 2023",Uttar Pradesh,66.01
India,"Financial Year (Apr - Mar), 2023","October, 2023",West Bengal,69.95
