Country,Year,Month,Name Of The Ministry,Name Of The Project,"Digital Transaction  (UOM:INR(IndianRupees)), Scaling Factor:10000000","Bhim Transaction (UOM:INR(IndianRupees)), Scaling Factor:10000000","Debit Card (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Ministry of Electronics and Information Technology,Digital Payments,953.91,586.38,32.88
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Ministry of Electronics and Information Technology,Digital Payments,914.38,586.27,31.82
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Ministry of Electronics and Information Technology,Digital Payments,1066.31,595.53,32.47
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Ministry of Electronics and Information Technology,Digital Payments,863.65,558.3,32.46
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Ministry of Electronics and Information Technology,Digital Payments,869.69,504.71,37.37
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Ministry of Electronics and Information Technology,Digital Payments,777.12,452.74,33.75
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Ministry of Electronics and Information Technology,Digital Payments,803.1,461.71,37.65
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Ministry of Electronics and Information Technology,Digital Payments,847.91,456.62,37.65
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Ministry of Electronics and Information Technology,Digital Payments,816.86,418.64,36.44
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Ministry of Electronics and Information Technology,Digital Payments,804.08,421.85,38.53
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Ministry of Electronics and Information Technology,Digital Payments,675.77,365.42,34.9
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Ministry of Electronics and Information Technology,Digital Payments,685.52,355.54,35.88
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Ministry of Electronics and Information Technology,Digital Payments,687.05,324.77,34.05
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Ministry of Electronics and Information Technology,Digital Payments,593.67,280.74,29.47
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Ministry of Electronics and Information Technology,Digital Payments,520.38,253.95,26.36
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Ministry of Electronics and Information Technology,Digital Payments,556.72,264.1,32.7
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Ministry of Electronics and Information Technology,Digital Payments,651.75,273.16,38.05
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Ministry of Electronics and Information Technology,Digital Payments,491.64,229.28,34.66
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Ministry of Electronics and Information Technology,Digital Payments,511.17,230.26,37.15
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Ministry of Electronics and Information Technology,Digital Payments,543.5,223.41,37.65
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Ministry of Electronics and Information Technology,Digital Payments,502.64,221.01,39.7
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Ministry of Electronics and Information Technology,Digital Payments,491.97,207.15,41.46
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Ministry of Electronics and Information Technology,Digital Payments,489.21,180.01,36.23
India,"Calendar Year (Jan - Dec), 2020","August, 2020",Ministry of Electronics and Information Technology,Digital Payments,433.43,161.87,34.89
India,"Calendar Year (Jan - Dec), 2020","July, 2020",Ministry of Electronics and Information Technology,Digital Payments,400.52,149.73,32.59
India,"Calendar Year (Jan - Dec), 2020","June, 2020",Ministry of Electronics and Information Technology,Digital Payments,408.68,133.68,30.91
India,"Calendar Year (Jan - Dec), 2020","May, 2020",Ministry of Electronics and Information Technology,Digital Payments,326.21,123.44,27.23
India,"Calendar Year (Jan - Dec), 2020","April, 2020",Ministry of Electronics and Information Technology,Digital Payments,303.4,99.95,20.95
India,"Calendar Year (Jan - Dec), 2020","March, 2020",Ministry of Electronics and Information Technology,Digital Payments,414.92,124.68,37.16
India,"Calendar Year (Jan - Dec), 2020","February, 2020",Ministry of Electronics and Information Technology,Digital Payments,410.73,132.56,43.81
India,"Calendar Year (Jan - Dec), 2020","January, 2020",Ministry of Electronics and Information Technology,Digital Payments,435.87,130.49,46.37
India,"Calendar Year (Jan - Dec), 2019","December, 2019",Ministry of Electronics and Information Technology,Digital Payments,451.03,130.83,45.79
India,"Calendar Year (Jan - Dec), 2019","November, 2019",Ministry of Electronics and Information Technology,Digital Payments,389.38,121.87,43
India,"Calendar Year (Jan - Dec), 2019","October, 2019",Ministry of Electronics and Information Technology,Digital Payments,410.91,114.83,45.5
India,"Calendar Year (Jan - Dec), 2019","September, 2019",Ministry of Electronics and Information Technology,Digital Payments,389.62,95.49,41.49
India,"Calendar Year (Jan - Dec), 2019","August, 2019",Ministry of Electronics and Information Technology,Digital Payments,351.36,91.83,42.93
India,"Calendar Year (Jan - Dec), 2019","July, 2019",Ministry of Electronics and Information Technology,Digital Payments,338.45,82.22,42.56
