Country,State,Year,Gender,Category,"Gross Enrolment Ratio (Ger) In Higher Education (UOM:Ratio), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Male,All Categories,19.8
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Female,All Categories,25.7
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Total,All Categories,22.6
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,10.4
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,16.1
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,13.2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Male,All Categories,37.7
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Female,All Categories,35.2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Total,All Categories,36.5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,35.0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,33.9
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,34.5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,35.7
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,31.5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,33.6
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Male,All Categories,38.4
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Female,All Categories,34.5
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Total,All Categories,36.5
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,42.2
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,37.8
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,39.9
India,Assam,"Financial Year (Apr - Mar), 2021",Male,All Categories,16.2
India,Assam,"Financial Year (Apr - Mar), 2021",Female,All Categories,17.6
India,Assam,"Financial Year (Apr - Mar), 2021",Total,All Categories,16.9
India,Assam,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,18.2
India,Assam,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,19.5
India,Assam,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,18.8
India,Assam,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,25.4
India,Assam,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,26.3
India,Assam,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,25.8
India,Bihar,"Financial Year (Apr - Mar), 2021",Male,All Categories,17.8
India,Bihar,"Financial Year (Apr - Mar), 2021",Female,All Categories,16.3
India,Bihar,"Financial Year (Apr - Mar), 2021",Total,All Categories,17.1
India,Bihar,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,19.0
India,Bihar,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,13.6
India,Bihar,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,16.4
India,Bihar,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,38.0
India,Bihar,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,31.0
India,Bihar,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,34.6
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Male,All Categories,56.8
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Female,All Categories,75.4
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Total,All Categories,64.8
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,53.7
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,52.9
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,53.4
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Male,All Categories,17.6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Female,All Categories,21.6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Total,All Categories,19.6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,19.1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,21.7
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,20.3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,10.8
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,15.3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,13.1
India,Delhi,"Financial Year (Apr - Mar), 2021",Male,All Categories,48.3
India,Delhi,"Financial Year (Apr - Mar), 2021",Female,All Categories,49.7
India,Delhi,"Financial Year (Apr - Mar), 2021",Total,All Categories,49.0
India,Delhi,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,36.6
India,Delhi,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,35.6
India,Delhi,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,36.1
India,Delhi,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,
India,Delhi,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,
India,Delhi,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,
India,Goa,"Financial Year (Apr - Mar), 2021",Male,All Categories,36.0
India,Goa,"Financial Year (Apr - Mar), 2021",Female,All Categories,35.5
India,Goa,"Financial Year (Apr - Mar), 2021",Total,All Categories,35.8
India,Goa,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,45.4
India,Goa,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,33.5
India,Goa,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,39.5
India,Goa,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,23.7
India,Goa,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,31.6
India,Goa,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,27.6
India,Gujarat,"Financial Year (Apr - Mar), 2021",Male,All Categories,25.2
India,Gujarat,"Financial Year (Apr - Mar), 2021",Female,All Categories,22.7
India,Gujarat,"Financial Year (Apr - Mar), 2021",Total,All Categories,24.0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,33.6
India,Gujarat,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,30.8
India,Gujarat,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,32.3
India,Gujarat,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,19.9
India,Gujarat,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,21.0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,20.4
India,Haryana,"Financial Year (Apr - Mar), 2021",Male,All Categories,30.3
India,Haryana,"Financial Year (Apr - Mar), 2021",Female,All Categories,37.0
India,Haryana,"Financial Year (Apr - Mar), 2021",Total,All Categories,33.3
India,Haryana,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,24.2
India,Haryana,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,29.2
India,Haryana,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,26.5
India,Haryana,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,
India,Haryana,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,
India,Haryana,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Male,All Categories,37.3
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Female,All Categories,49.7
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Total,All Categories,43.1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Caste,29.4
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Caste,39.9
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Caste,34.4
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Male,Scheduled Tribe,38.7
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Female,Scheduled Tribe,50.6
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",Total,Scheduled Tribe,44.5
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Male,All Categories,22.6
