Country,Year,Type Of Sector,Additional Info,"Energy Consumption (UOM:Gwh(Gigawatthour)), Scaling Factor:1","Percentage Of Electricity Consumption In India (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Annual Growth In India (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2023",Industry,Provisional,645000,41.8,8.61
India,"Financial Year (Apr - Mar), 2023",Agriculture,Provisional,255000,16.53,4.57
India,"Financial Year (Apr - Mar), 2023",Domestic,Provisional,375000,24.3,6.19
India,"Financial Year (Apr - Mar), 2023",Commercial,Provisional,125000,8.1,6.63
India,"Financial Year (Apr - Mar), 2023",Traction and Railways,Provisional,33000,2.14,9.9
India,"Financial Year (Apr - Mar), 2023",Electricity Consumed,Provisional,1543000,100,7.13
India,"Financial Year (Apr - Mar), 2023",Others,Provisional,110000,7.13,7.69
India,"Financial Year (Apr - Mar), 2022",Industry,,595000,42.4,6.92
India,"Financial Year (Apr - Mar), 2022",Agriculture,,240800,17.16,5.41
India,"Financial Year (Apr - Mar), 2022",Domestic,,362000,25.79,6.54
India,"Financial Year (Apr - Mar), 2022",Commercial,,105100,7.49,8.22
India,"Financial Year (Apr - Mar), 2022",Traction and Railways,,25000,1.78,13.97
India,"Financial Year (Apr - Mar), 2022",Electricity Consumed,,1440311,100,6.58
India,"Financial Year (Apr - Mar), 2022",Others,,75500,5.38,3.43
India,"Financial Year (Apr - Mar), 2021",Industry,,556481,42.26,4.86
India,"Financial Year (Apr - Mar), 2021",Agriculture,,228451,17.35,3.48
India,"Financial Year (Apr - Mar), 2021",Domestic,,339780,25.8,0.96
India,"Financial Year (Apr - Mar), 2021",Commercial,,97121,7.38,23.63
India,"Financial Year (Apr - Mar), 2021",Traction and Railways,,21935,1.67,34.99
India,"Financial Year (Apr - Mar), 2021",Electricity Consumed,,1316765,100,5.37
India,"Financial Year (Apr - Mar), 2021",Others,,72996,5.54,7.09
India,"Financial Year (Apr - Mar), 2020",Industry,,508776,41.36,-5.37
India,"Financial Year (Apr - Mar), 2020",Agriculture,,221303,17.99,1.75
