Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Andhra Pradesh,2.72,82.82,7.22
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Assam,0.31,25.62,2.19
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Bihar,0.83,93.54,7.96
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Gujarat,1.42,66.1,5.7
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Haryana,0.51,26.52,2.28
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Himachal Pradesh,0.16,8.84,0.76
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Jammu & Kashmir,0.38,12.18,1.06
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Karnataka,3.21,66.01,5.84
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Kerala,1.41,42.37,3.7
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Madhya Pradesh,1.57,77.97,6.71
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Maharashtra,1.54,93.47,8.02
India,"Calendar Year (Jan - Dec), 2023","November, 2023",North East,0.25,12.39,1.07
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Odisha,0.47,33.15,2.84
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Punjab,1.4,34.99,3.07
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Rajasthan,0.94,65.75,5.63
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Tamil Nadu,2.8,78.04,6.82
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Uttar Pradesh (East),0.87,100.64,8.57
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Uttar Pradesh (West),0.9,62.63,5.36
India,"Calendar Year (Jan - Dec), 2023","November, 2023",West Bengal,0.47,57.17,4.86
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Kolkata,0.96,23.97,2.1
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Delhi,4.09,55.83,5.06
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Mumbai,3.45,34.21,3.18
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Andhra Pradesh,2.69,82.35,7.2
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Assam,0.31,25.63,2.2
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Bihar,0.78,93.11,7.95
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Gujarat,1.41,65.74,5.68
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Haryana,0.51,26.43,2.28
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Himachal Pradesh,0.15,8.85,0.76
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Jammu & Kashmir,0.38,12.25,1.07
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Karnataka,3.18,65.72,5.83
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Kerala,1.4,42.41,3.71
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Madhya Pradesh,1.55,77.7,6.71
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Maharashtra,1.51,93.47,8.04
India,"Calendar Year (Jan - Dec), 2023","October, 2023",North East,0.24,12.36,1.07
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Odisha,0.47,33.36,2.86
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Punjab,1.38,34.89,3.07
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Rajasthan,0.93,65.81,5.65
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Tamil Nadu,2.8,77.69,6.81
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Uttar Pradesh (East),0.84,100.32,8.56
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Uttar Pradesh (West),0.85,62.36,5.35
